date,max_Temp,min_Temp,hum,widdir,wind,rain,sun_Time,sun_Qy,condens_Time,soil_Temp
2017-01-01 13:00:00,6.1,-6.3,66.7,148.5,0.5,0.0,232.0,4.2,755.0,0.6
2017-01-02 13:00:00,7.8,-5.9,66.5,175.1,0.6,0.0,118.0,4.0,697.0,0.7
2017-01-03 13:00:00,6.5,-4.1,41.8,306.6,2.5,0.0,254.0,5.9,637.0,0.8
2017-01-04 13:00:00,8.1,-5.4,60.8,293.9,1.4,0.0,241.0,5.4,479.0,0.9
2017-01-05 13:00:00,7.7,-4.8,65.4,186.1,1.6,0.0,29.0,3.0,464.0,1.1
2017-01-07 13:00:00,6.4,-6.2,64.5,306.9,1.0,0.0,234.0,5.1,679.0,1.9
2017-01-09 13:00:00,6.8,3.4,53.7,328.5,5.0,0.0,80.0,3.3,0.0,5.1
2017-01-10 13:00:00,2.4,-6.9,36.9,318.8,5.2,0.0,290.0,7.0,203.0,1.7
2017-01-11 13:00:00,-0.3,-9.5,29.4,276.8,2.1,0.0,295.0,7.0,0.0,0.9
2017-01-12 13:00:00,5.7,-6.9,48.1,304.4,4.8,0.0,250.0,5.4,0.0,0.7
2017-01-13 13:00:00,1.7,-10.2,47.8,271.9,2.9,0.0,258.0,5.9,0.0,0.4
2017-01-14 13:00:00,-3.6,-12.9,24.4,323.4,5.7,0.0,297.0,7.2,0.0,0.0
2017-01-15 13:00:00,-2.1,-15.3,27.0,203.5,1.3,0.0,297.0,7.2,0.0,-0.7
2017-01-16 13:00:00,0.9,-14.6,37.8,239.5,1.2,0.0,297.0,7.2,0.0,-0.9
2017-01-17 13:00:00,1.3,-13.2,40.9,315.7,1.7,0.0,283.0,4.9,0.0,-0.9
2017-01-18 13:00:00,2.5,-10.9,51.1,264.2,0.7,0.0,210.0,4.3,0.0,-0.8
2017-01-19 13:00:00,3.5,-10.2,55.0,305.3,1.3,0.0,213.0,5.0,387.0,-0.8
2017-01-20 13:00:00,-0.8,-6.1,65.3,296.3,3.7,0.0,11.0,2.0,0.0,-0.4
2017-01-21 13:00:00,-0.9,-14.5,55.8,248.7,2.0,0.0,280.0,6.4,550.0,-0.8
