연도,재배면적,10a당 생산량,생산량,의성군재배면적,의성군생산량,,,,,
2002,33153,1190,394482,,,,,,,
2003,33140,1143,378846,,,,,,,
2004,30237,1183,357824,,,,,,,
2005,31766,1180,374980,,,,,,,
2006,28594,1159,331379,,,,,,,
2007,26986,1288,347546,,,,,,,
2008,28416,1321,375463,,,,,,,
2009,26323,1357,357278,,,,,,,
2010,22414,1212,271560,,,,,,,
2011,24035,1227,295002,,,,,,,
2012,28278,1199,339113,,,,,,,
2013,29352,1405,412250,,,,,,,
2014,25062,1412,353761,,,,,,,
2015,20638,1290,266272,,,,,,,
2016,20758,1327,275549,,,,,,,
2017,24864,1221,303578,,,,,,,
2018,28351,1170,331741,,,,,,,
2019,27689,1400,387671,1700,19262,,,,,
2020,25372,1432,363432,1444,14937,,,,,
2021,21999,1402,312995,1340,13568,,,,,
2022,22362,1220,290824,1246,12084,,,,,
2023,24700,1288,312438,1215,11801,,,,,
